Name,Latitude,Longitude,Address,Access,Fee,Bidet,Source
Ana Maria Bakeshoppe,9.3083248,123.3077226,,customers,no,no,OpenStreetMap (Commercial)
Andok's,9.3169592,123.3059978,,customers,no,no,OpenStreetMap (Commercial)
Ang Barko Pension House,9.3140295,123.3097549,,customers,no,no,OpenStreetMap (Commercial)
Angel's Pizza,9.3101665,123.3067177,Silliman Avenue,customers,no,no,OpenStreetMap (Commercial)
Anima Christi Pharmacy,9.3054792,123.3049413,Jose Pro Teves Street,customers,no,no,OpenStreetMap (Commercial)
Animal Disease Diagnostic Laboratory,9.3218948,123.3008349,,customers,no,no,OpenStreetMap (Commercial)
Antwet Backpacker's Inn & Rooftop Bar,9.313813,123.30012,N/A,customers,no,yes,User Provided (Bidet List v3)
Antwet Roofdeck Bar,9.3138143,123.3041262,Veterans Avenue,customers,no,no,OpenStreetMap (Commercial)
Appliance Centrum,9.3093046,123.3066873,,customers,no,no,OpenStreetMap (Commercial)
Aqua,9.3125271,123.2668417,Dumaguete - Palinpinon Road,customers,no,no,OpenStreetMap (Commercial)
Aquaventure White Tip Dive Supply,9.3067035,123.3039258,Doctor Vicente Locsin Street,customers,no,no,OpenStreetMap (Commercial)
Arbon's Tailoring & Alterations,9.3043957,123.3019812,,customers,no,no,OpenStreetMap (Commercial)
Arbour by Jan,9.3255451,123.3068699,,customers,no,no,OpenStreetMap (Commercial)
Armans,9.3128973,123.2980632,,customers,no,no,OpenStreetMap (Commercial)
Arnok's Fried Chicken,9.3065665,123.2978672,Larena Drive,customers,no,no,OpenStreetMap (Commercial)
Arnok's Fried Chicken,9.3263147,123.297763,Veterans Avenue,customers,no,no,OpenStreetMap (Commercial)
Aromar Coffee,9.3201485,123.2973325,,customers,no,no,OpenStreetMap (Commercial)
Asia Novotel,9.30771,123.3073341,Governor M. F. Perdices Street,customers,no,no,OpenStreetMap (Commercial)
Asia United Bank,9.3067943,123.3070226,Doctor Vicente Locsin Street,customers,no,no,OpenStreetMap (Commercial)
Asiatic Hardware Store,9.304598,123.3063123,,customers,no,no,OpenStreetMap (Commercial)
Astra Bella Apartment,9.321312,123.294687,N/A,customers,no,yes,User Provided (Bidet List v3)
Ata Negrito Spa,9.3296446,123.3040001,,customers,no,no,OpenStreetMap (Commercial)
Atirolf's Store,9.3199301,123.2957478,E. J. Blanco Extension,customers,no,no,OpenStreetMap (Commercial)
Avenue Park Hotel,9.3088634,123.3074206,Governor M. F. Perdices Street,customers,no,no,OpenStreetMap (Commercial)
Avon,9.3005375,123.3038668,,customers,no,no,OpenStreetMap (Commercial)
Azul Bar,9.3205129,123.3124021,,customers,no,no,OpenStreetMap (Commercial)
B & H Mart,9.3069768,123.3063363,,customers,no,no,OpenStreetMap (Commercial)
B Massage and Spa,9.3068974,123.3039741,Doctor Vicente Locsin Street,customers,no,no,OpenStreetMap (Commercial)
B.S. Trading,9.3064006,123.3067019,Bishop Epifanio B. Surban Street,customers,no,no,OpenStreetMap (Commercial)
BDO,9.298299,123.3042928,,customers,no,no,OpenStreetMap (Commercial)
BDO,9.311288,123.3049977,Dumaguete North Road,customers,no,no,OpenStreetMap (Commercial)
BDO,9.30454,123.3075788,Senator Lorenzo G. Teves Street,customers,no,no,OpenStreetMap (Commercial)
BDO,9.3238063,123.298533,,customers,no,no,OpenStreetMap (Commercial)
BM Bakeshop,9.3111557,123.2939162,,customers,no,no,OpenStreetMap (Commercial)
BM Bakeshoppe,9.3170233,123.30287,,customers,no,no,OpenStreetMap (Commercial)
BOTEJYU,9.2987671,123.3031116,,customers,no,no,OpenStreetMap (Commercial)
BPI,9.3105112,123.3049975,,customers,no,no,OpenStreetMap (Commercial)
BPI,9.3062233,123.3075357,Governor Perdices Street,customers,no,no,OpenStreetMap (Commercial)
BPI,9.3080174,123.3079829,San Jose,customers,no,no,OpenStreetMap (Commercial)
BPI,9.3256772,123.2981263,,customers,no,no,OpenStreetMap (Commercial)
BRIX Tailoring,9.3168007,123.3020082,,customers,no,no,OpenStreetMap (Commercial)
BTJ,9.3096546,123.3081943,San Juan Street,customers,no,no,OpenStreetMap (Commercial)
Babii Tea,9.3096,123.3082864,,customers,no,no,OpenStreetMap (Commercial)
Bagacay Barangay Hall,9.2997674,123.2936048,Jose Romero Road,public,no,no,OpenStreetMap (Commercial)
Bagacay Farmers' Market,9.3002751,123.2929604,,public,no,no,OpenStreetMap (Commercial)
Bahay Pamahalaan ng Barangay Buñao,9.329949,123.2934078,Buñao Road,public,no,no,OpenStreetMap (Commercial)
Bahay Pamahalaan ng Barangay Lo-oc,9.3141416,123.3102003,Flores Avenue,public,no,no,OpenStreetMap (Commercial)
Bahay Pamahalaan ng Barangay Piapi,9.3214906,123.3055787,E. J. Blanco Drive,public,no,no,OpenStreetMap (Commercial)
Bahay Pamahalaan ng Barangay Pulantubig,9.3240755,123.2880588,L. Rovira West Road,public,no,no,OpenStreetMap (Commercial)
Bahia Restaurant and Lounge Bar,9.3264063,123.3111175,,customers,no,no,OpenStreetMap (Commercial)
Bai Cafe Coffee & Resto,9.3180574,123.2971345,,customers,no,no,OpenStreetMap (Commercial)
Bajumpandan Barangay Hall,9.2830403,123.2782725,,public,no,no,OpenStreetMap (Commercial)
Balasbas Vulcanizing Shop,9.302976,123.2798314,,customers,no,no,OpenStreetMap (Commercial)
Balugo Barangay Hall,9.3030125,123.2627282,Dumaguete - Balugo Road,public,no,no,OpenStreetMap (Commercial)
Bamboo Sparadise Massage,9.3090501,123.3088039,Santa Catalina Street,customers,no,no,OpenStreetMap (Commercial)
BanKo Savings Bank,9.3087313,123.3063244,,customers,no,no,OpenStreetMap (Commercial)
Banco Dipolog,9.3086882,123.3063316,,customers,no,no,OpenStreetMap (Commercial)
Banh Mi Kitchen,9.3226959,123.2987403,,customers,no,no,OpenStreetMap (Commercial)
Banilad Barangay Hall,9.2829973,123.2951418,Santo Niño Road,public,no,no,OpenStreetMap (Commercial)
Bantayan Barangay Hall,9.3316721,123.304606,,public,no,no,OpenStreetMap (Commercial)
Barangay Health Center,9.3123083,123.2687817,,customers,no,no,OpenStreetMap (Commercial)
Batinguel Barangay Hall,9.3099506,123.2899377,Dumaguete - Palinpinon Road,public,no,no,OpenStreetMap (Commercial)
Belcris,9.3103382,123.3084132,,customers,no,no,OpenStreetMap (Commercial)
Bellisima Nail Spa,9.309398,123.3066136,San Juan Street,customers,no,no,OpenStreetMap (Commercial)
Bench,9.2980279,123.3038748,,customers,no,no,OpenStreetMap (Commercial)
Best Practices Motorcycle Dealer,9.312771,123.3041824,Veterans Avenue,customers,no,no,OpenStreetMap (Commercial)
Bethel Guest House,9.3062835,123.3099902,Rizal Boulevard,customers,no,no,OpenStreetMap (Commercial)
Biaño's Pizza,9.3203758,123.3002764,,customers,no,no,OpenStreetMap (Commercial)
Bigby's,9.32231,123.31215,,public/customers,unknown,yes,User Provided (Bidet List)
Bigby's Café and Restaurant,9.3222058,123.3120769,,customers,no,no,OpenStreetMap (Commercial)
Bike Co.,9.3107936,123.3002167,,customers,no,no,OpenStreetMap (Commercial)
Bilcris sausages,9.3036779,123.3079833,,customers,no,no,OpenStreetMap (Commercial)
Bing's Bazaar,9.304874,123.3055835,,customers,no,no,OpenStreetMap (Commercial)
Biryani Point,9.3192482,123.2905126,E. J. Blanco Extension,customers,no,no,OpenStreetMap (Commercial)
Blue Horizon,9.3160152,123.3008406,Aldecoa Drive,customers,no,no,OpenStreetMap (Commercial)
Blue Pearl,9.3187608,123.3072651,Hibbard Avenue,customers,no,no,OpenStreetMap (Commercial)
Blue Planet Travels,9.3162567,123.3070031,,customers,no,no,OpenStreetMap (Commercial)
Bo's Coffee,9.3097922,123.3091088,Rizal Avenue,customers,no,no,OpenStreetMap (Commercial)
Bob Cha,9.3166835,123.3068693,,customers,no,no,OpenStreetMap (Commercial)
Bogart's,9.3089866,123.309436,,customers,no,no,OpenStreetMap (Commercial)
Bong Bong's,9.3229875,123.3119172,,customers,no,no,OpenStreetMap (Commercial)
Book Sale,9.2988826,123.3035437,,customers,no,no,OpenStreetMap (Commercial)
Boston Finance and Investment Company,9.3091522,123.3062961,Maria Cristina Street,customers,no,no,OpenStreetMap (Commercial)
Botica Real,9.3220759,123.2994357,,customers,no,no,OpenStreetMap (Commercial)
Botica Sa OSCA,9.3173619,123.3035532,,customers,no,no,OpenStreetMap (Commercial)
Box of Delights,9.3198614,123.3006747,,customers,no,no,OpenStreetMap (Commercial)
Brain Brew,9.31645,123.30738,,public/customers,unknown,yes,User Provided (Bidet List)
Bread & More,9.3060762,123.3027336,Doctor Miciano Road,customers,no,no,OpenStreetMap (Commercial)
Bread & More,9.3284308,123.296528,"National Highway, Bantayan",customers,no,no,OpenStreetMap (Commercial)
Bread & More,9.302721,123.30643,Luke E. Wright Street,customers,no,no,OpenStreetMap (Commercial)
Bread Camp,9.3056048,123.3049756,,customers,no,no,OpenStreetMap (Commercial)
Bread Counter,9.3143717,123.3100533,,customers,no,no,OpenStreetMap (Commercial)
Breadworth,9.3076404,123.3094966,Rizal Boulevard,customers,no,no,OpenStreetMap (Commercial)
Breadworth Bakery Cafe,9.3230401,123.3117443,,customers,no,no,OpenStreetMap (Commercial)
Brewskis,9.3150235,123.2991696,,customers,no,no,OpenStreetMap (Commercial)
Brewthers,9.3198486,123.2951387,,customers,no,no,OpenStreetMap (Commercial)
Brightwash,9.3102392,123.3072452,,customers,no,no,OpenStreetMap (Commercial)
Buddy's Place,9.3093861,123.3093137,,customers,no,no,OpenStreetMap (Commercial)
Buglas Isla Cafe,9.3203595,123.3106785,,customers,no,no,OpenStreetMap (Commercial)
Buglas Isla Cafe Dumaguete,9.320438,123.310688,N/A,customers,no,yes,User Provided (Bidet List v3)
Bugtaw,9.3195445,123.3074993,,customers,no,no,OpenStreetMap (Commercial)
Buko Pie,9.3276909,123.2970461,,customers,no,no,OpenStreetMap (Commercial)
Buko Pilipino,9.2989125,123.3035445,,customers,no,no,OpenStreetMap (Commercial)
Bulwagang Barangay ng Poblacion 5,9.3096576,123.3078403,,public,no,no,OpenStreetMap (Commercial)
Bulwagang Pambarangay ng Calindagan,9.3003458,123.3115514,,public,no,no,OpenStreetMap (Commercial)
Bunch-n-Dozen Flower Shop,9.3165311,123.3020235,Veterans Avenue,customers,no,no,OpenStreetMap (Commercial)
But First Coffee,9.30685,123.30865,"Perdices St, Dumaguete City",customers,no,yes,Manual Research
"But First, Coffee",9.3068238,123.3086045,,customers,no,yes,Manual Research
C & L Lending,9.3057908,123.3087772,,customers,no,no,OpenStreetMap (Commercial)
C & L Suites Inn,9.3043989,123.3078606,,customers,no,no,OpenStreetMap (Commercial)
C and L Bayview,9.3045523,123.3095228,,customers,no,no,OpenStreetMap (Commercial)
CH-5 Eatery,9.3132458,123.3093667,Flores Avenue,customers,no,no,OpenStreetMap (Commercial)
CMD,9.3096542,123.3087236,,customers,no,no,OpenStreetMap (Commercial)
CTL,9.3090301,123.3063101,,customers,no,no,OpenStreetMap (Commercial)
Cadawinonan Barangay Hall,9.3033852,123.2702099,,public,no,no,OpenStreetMap (Commercial)
Cafe Estacion,9.3035505,123.3073133,,customers,no,no,OpenStreetMap (Commercial)
Cafe Filomena,9.3064718,123.3099897,,customers,no,no,OpenStreetMap (Commercial)
Cafe Filomena 2,9.3156019,123.3022186,,customers,no,no,OpenStreetMap (Commercial)
Cafe Laguna,9.3080109,123.3082099,San Jose Street,customers,no,no,OpenStreetMap (Commercial)
Cafe Lucio,9.3237944,123.3071067,,customers,no,no,OpenStreetMap (Commercial)
Cafe Mamia,9.30818,123.30895,"Santa Catalina Street, Dumaguete, Negros Oriental",customers,no,yes,OpenStreetMap
Cafe Oppa,9.3086623,123.3089701,,customers,no,no,OpenStreetMap (Commercial)
Cafe Racer,9.3213973,123.3119023,,customers,no,no,OpenStreetMap (Commercial)
Café Mafioso,9.3236938,123.3116802,Flores Avenue Extension,customers,no,no,OpenStreetMap (Commercial)
Café Mamia,9.3081574,123.3089091,San Jose Street,customers,no,yes,OpenStreetMap
Café Maria,9.3240076,123.309176,,customers,no,no,OpenStreetMap (Commercial)
Calabeera,9.3196999,123.2944949,E. J. Blanco Extension,customers,no,no,OpenStreetMap (Commercial)
Camanjac Barangay Hall,9.3250478,123.271622,,public,no,no,OpenStreetMap (Commercial)
Candau-ay Barangay Hall,9.3135084,123.2591335,Dumaguete - Palinpinon Road,public,no,no,OpenStreetMap (Commercial)
Candia's Printing Shop,9.3060016,123.3038187,Doctor Miciano Road,customers,no,no,OpenStreetMap (Commercial)
Cang's Inc. Shopping Complex,9.315627,123.3020323,Veterans Avenue,customers,no,no,OpenStreetMap (Commercial)
Cang's Supermarket,9.3157326,123.3022001,,customers,no,no,OpenStreetMap (Commercial)
Canoli Store,9.3045341,123.3017756,,customers,no,no,OpenStreetMap (Commercial)
Cantil-e Barangay Hall,9.2806306,123.2726153,,public,no,no,OpenStreetMap (Commercial)
Carlo Reyes Salon,9.2993923,123.303511,Governor Perdices Street,customers,no,no,OpenStreetMap (Commercial)
Carlo Reyes Salon,9.3044664,123.3078566,,customers,no,no,OpenStreetMap (Commercial)
Carlo's Place,9.317763,123.305766,N/A,customers,no,yes,User Provided (Bidet List v3)
Casa Ilongga,9.3156581,123.3021822,,customers,no,no,OpenStreetMap (Commercial)
Casa Rubin,9.3007178,123.3073956,Governor M. F. Perdices Street,customers,no,no,OpenStreetMap (Commercial)
Casablanca,9.3084586,123.3094821,Rizal Boulevard,customers,no,no,OpenStreetMap (Commercial)
Casablanca Restaurant,9.30852,123.30952,,customers,no,yes,User Provided (Bidet List)
Cebuana,9.3261033,123.2979608,,customers,no,no,OpenStreetMap (Commercial)
Cebuana Lhuillier,9.3057765,123.3049619,,customers,no,no,OpenStreetMap (Commercial)
Cebuana Lhuillier,9.31013,123.3064642,Silliman Avenue,customers,no,no,OpenStreetMap (Commercial)
Cebuana Lhuillier,9.3036805,123.3079374,,customers,no,no,OpenStreetMap (Commercial)
Cebuana Lhuillier,9.3087231,123.3088626,Santa Catalina Street,customers,no,no,OpenStreetMap (Commercial)
Cebuana Lhuillier,9.3035754,123.3080227,Santa Rosa Street,customers,no,no,OpenStreetMap (Commercial)
Cebuana Lhuillier,9.3102828,123.3076429,Silliman Avenue,customers,no,no,OpenStreetMap (Commercial)
Cebuana Lhuillier,9.3052152,123.3064252,Katada Street,customers,no,no,OpenStreetMap (Commercial)
Cebuana Lhuillier,9.3068029,123.3099483,Rizal Boulevard,customers,no,no,OpenStreetMap (Commercial)
Cebuana Lhuillier,9.3082084,123.3072884,,customers,no,no,OpenStreetMap (Commercial)
Cebuana Lhuillier,9.3086689,123.3075366,,customers,no,no,OpenStreetMap (Commercial)
Cebuana lhuillier,9.317109,123.3017786,,customers,no,no,OpenStreetMap (Commercial)
Cellphone Repair Shop,9.3083401,123.3063761,,customers,no,no,OpenStreetMap (Commercial)
Center Trade Painthaus,9.3040483,123.307898,,customers,no,no,OpenStreetMap (Commercial)
Century Spring,9.3107556,123.3044491,,customers,no,no,OpenStreetMap (Commercial)
Ceres Bus Terminal Restrooms,9.2989,123.3034,"Calindagan, Dumaguete City",public,yes,no,Manual Research
Cha Tuk Chak,9.30415,123.30863,Santa Catalina Street,public/customers,unknown,yes,User Provided (Bidet List)
Chanez Food House,9.3060343,123.3022778,,customers,no,no,OpenStreetMap (Commercial)
Chantilly,9.3183179,123.2978425,,customers,no,no,OpenStreetMap (Commercial)
Charos Dormitel,9.31948,123.2912,,customers,no,yes,OpenStreetMap (Commercial)
Chatime,9.307779,123.3094789,Rizal Boulevard,customers,no,no,OpenStreetMap (Commercial)
Check Inn Dumaguete,9.3070116,123.3072521,,customers,no,no,OpenStreetMap (Commercial)
Chefs and Bakers,9.3083314,123.3095544,Rizal Boulevard,customers,no,no,OpenStreetMap (Commercial)
Cherry Mobile store,9.3068826,123.3072792,,customers,no,no,OpenStreetMap (Commercial)
Chia Eatery,9.3197774,123.3086813,,customers,no,no,OpenStreetMap (Commercial)
Chiccos,9.3075422,123.3097134,Rizal Boulevard,customers,no,no,OpenStreetMap (Commercial)
Chill Out,9.3291036,123.3103685,,customers,no,no,OpenStreetMap (Commercial)
Chin Loong,9.308209,123.3095718,Rizal Boulevard,customers,no,no,OpenStreetMap (Commercial)
China Bank,9.3073838,123.3057874,Mayor Ramon T. Pastor Sr. Street,customers,no,no,OpenStreetMap (Commercial)
Ching Ching Marketing,9.3045403,123.307943,,customers,no,no,OpenStreetMap (Commercial)
Chirugi Pan De Cape,9.3040581,123.3058302,,customers,no,no,OpenStreetMap (Commercial)
Choobi Choobi,9.3199248,123.3122393,,customers,no,no,OpenStreetMap (Commercial)
Chooks to Go,9.3205621,123.3002388,,customers,no,no,OpenStreetMap (Commercial)
Chow's Divisoria,9.30795,123.3066692,Maria Cristina Street,customers,no,no,OpenStreetMap (Commercial)
Chowking,9.3234496,123.2985001,,customers,no,no,OpenStreetMap (Commercial)
Chowking,9.2979169,123.3037511,,customers,no,yes,User Provided (Bidet List)
Chowking,9.3124005,123.304404,,customers,no,no,OpenStreetMap (Commercial)
Chowking,9.3081956,123.3077231,Governor M. F. Perdices Street,customers,no,no,OpenStreetMap (Commercial)
Chowking Drive Thru,9.312313,123.304312,N/A,customers,no,yes,User Provided (Bidet List v3)
Chowking Dumaguete Downtown,9.308312,123.307812,N/A,customers,no,yes,User Provided (Bidet List v3)
Chrissias,9.3059404,123.3014244,,customers,no,no,OpenStreetMap (Commercial)
Ciao Bella Resto Bar,9.3214581,123.3087415,,customers,no,no,OpenStreetMap (Commercial)
Citi Hardware Dumaguete Branch,9.3000338,123.3047978,,customers,no,no,OpenStreetMap (Commercial)
Citi Mart,9.3043971,123.3086524,,customers,no,no,OpenStreetMap (Commercial)
City Burger,9.3080101,123.3053719,Mayor Ramon T. Pastor Sr. Street,customers,no,no,OpenStreetMap (Commercial)
City Farmstead,9.2916283,123.2626474,,customers,no,no,OpenStreetMap (Commercial)
CityMall Dumaguete,9.32375,123.29868,Veterans Avenue,public,no,yes,User Provided (Bidet List)
CityMall Dumaguete Restrooms,9.3271,123.3042,"North Road, Dumaguete City",public,no,no,Manual Research
CitySavings Bank,9.3067517,123.3053056,,customers,no,no,OpenStreetMap (Commercial)
CityWalk Hotel,9.310169,123.306754,Silliman Avenue,customers,no,no,OpenStreetMap (Commercial)
Coastal Inn,9.3149267,123.31049,Flores Avenue,customers,no,no,OpenStreetMap (Commercial)
Coco Grande,9.3153432,123.3077309,,customers,no,no,OpenStreetMap (Commercial)
Coco Grande Hotel,9.31533,123.30745,N/A,customers,no,yes,User Provided (Bidet List v3)
Coffee Collective,9.3271427,123.3101615,,customers,no,no,OpenStreetMap (Commercial)
Cokaliong Shipping Lines,9.3121386,123.3097057,,customers,no,no,OpenStreetMap (Commercial)
Conchita Store,9.3135061,123.2560719,,customers,no,no,OpenStreetMap (Commercial)
Conchita's Store,9.3086967,123.3065105,Maria Christina Street,customers,no,no,OpenStreetMap (Commercial)
Connect Internet Cafe,9.3084011,123.3063516,Maria Cristina Street,customers,no,no,OpenStreetMap (Commercial)
Cooperative Bank of Negros Oriental,9.3047087,123.3048358,,customers,no,no,OpenStreetMap (Commercial)
Cooperative Bank of Negros Oriental,9.3061898,123.3043534,,customers,no,no,OpenStreetMap (Commercial)
Copylandia,9.2994067,123.3036315,Governor Perdices Street,customers,no,no,OpenStreetMap (Commercial)
Copylandia,9.3042825,123.3078749,,customers,no,no,OpenStreetMap (Commercial)
Crete Cafe,9.32565,123.30478,,customers,no,yes,User Provided (Bidet List)
Crispy King,9.3058804,123.3047885,,customers,no,no,OpenStreetMap (Commercial)
Crispy King,9.321374,123.307183,,customers,no,no,OpenStreetMap (Commercial)
Crispy King,9.3022103,123.2981209,Senator Lorenzo G. Teves Street Extension,customers,no,no,OpenStreetMap (Commercial)
Crispy King,9.3101771,123.3068455,,customers,no,no,OpenStreetMap (Commercial)
Crown Pharmacy,9.308807,123.3075154,Governor M. F. Perdices Street,customers,no,no,OpenStreetMap (Commercial)
Crown Pharmacy,9.3208336,123.2997999,,customers,no,no,OpenStreetMap (Commercial)
Crown Pharmacy and Convenience Store,9.3171152,123.3033024,,customers,no,no,OpenStreetMap (Commercial)
Crown Traders,9.3043886,123.3058097,,customers,no,no,OpenStreetMap (Commercial)
Cube Vape Lounge,9.305831,123.3009832,,customers,no,no,OpenStreetMap (Commercial)
Curbada Convenience Store,9.2721793,123.2751486,,customers,no,no,OpenStreetMap (Commercial)
Curie Diagnostic Center,9.3094056,123.3088907,,customers,no,no,OpenStreetMap (Commercial)
Curry house,9.3167715,123.3059703,,customers,no,no,OpenStreetMap (Commercial)
D'Corner Bike Shop,9.3061245,123.304713,Jose Pro Teves,customers,no,no,OpenStreetMap (Commercial)
DARO Agrivet Supplies,9.316917,123.3022426,,customers,no,no,OpenStreetMap (Commercial)
DBP,9.3087346,123.3091771,,customers,no,no,OpenStreetMap (Commercial)
DC Marketing Dumaguete,9.2897805,123.2961629,,customers,no,no,OpenStreetMap (Commercial)
DCCCO Hotel,9.302812,123.307312,N/A,customers,no,yes,User Provided (Bidet List v3)
DESMARK Appliance Store,9.3162317,123.3022665,,customers,no,no,OpenStreetMap (Commercial)
DGTech Computer,9.30881,123.30768,,public/customers,unknown,yes,User Provided (Bidet List)
DM Stylus Copy Center,9.3101074,123.3062895,Silliman Avenue,customers,no,no,OpenStreetMap (Commercial)
DND suites,9.3096493,123.3074884,,customers,no,no,OpenStreetMap (Commercial)
